datetime,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_21,rsi,rsi_signal,macd,macd_signal,macd_hist,macd_cross,bb_upper,bb_middle,bb_lower,bb_width,bb_pct,atr,trend,pattern,engulfing,star_pattern
2026-06-14 02:45:00,1.1565,1.1565,1.1563,1.1565,6203.0,1.1563750000000002,1.1565100000000001,,1.1564443379699678,1.1564208181979425,56.01817925928751,bullish_zone,5.178508380554447e-06,-2.1735146318676306e-05,2.6913654699230753e-05,bullish_cross,1.1565408312395187,1.1563750000000002,1.1562091687604816,0.028681221838680583,0.8768891807202881,0.00017565729709575974,sideways,doji,none,none
2026-06-14 03:00:00,1.1564,1.1565,1.1564,1.1565,12295.3,1.15638,1.156504,,1.1564554703759744,1.156428016543584,56.01817925928751,bullish_zone,1.0297626228172874e-05,-1.532859180930647e-05,2.5626218037479342e-05,bullish_cross,1.1565543559577423,1.15638,1.1562056440422577,0.030155477912500964,0.8441236008048796,0.00017025320444606182,sideways,none,none,none
2026-06-14 03:15:00,1.1564,1.1565,1.1564,1.1564,5422.0,1.15638,1.1564940000000001,,1.1564443763007795,1.1564254695850764,47.544747054598695,neutral,6.213771251539768e-06,-1.1020119197137222e-05,1.7233890448676988e-05,bullish_cross,1.1565543559577423,1.15638,1.1562056440422577,0.030155477912500964,0.5573539334677983,0.0001652351184141995,sideways,doji,none,none
2026-06-14 03:30:00,1.1565,1.1565,1.1564,1.1564,15103.6,1.156385,1.1564860000000001,,1.1564355010406238,1.1564231541682513,47.544747054598695,neutral,2.943357566120852e-06,-8.227423844485607e-06,1.117078141060646e-05,bullish_cross,1.156555587221093,1.156385,1.156214412778907,0.029503534046721135,0.5439657786321312,0.00016057546709889874,sideways,none,none,evening_star
2026-06-14 03:45:00,1.1565,1.1565,1.1563,1.1563,17716.0,1.1563850000000002,1.1564780000000001,,1.156408400832499,1.1564119583347738,40.44886933155087,bearish_zone,-7.629682871712617e-06,-8.10787564993101e-06,4.781927782183928e-07,bullish_cross,1.1565555872210933,1.1563850000000002,1.1562144127789071,0.029503534046721132,0.25086058775255815,0.00016339150516326154,bearish,none,none,none
2026-06-14 04:00:00,1.1563,1.1564,1.1563,1.1564,9426.7,1.15639,1.15647,,1.1564067206659994,1.1564108712134307,48.69496310911815,neutral,-7.84924808239218e-06,-8.056150136423244e-06,2.0690205403106463e-07,bullish_cross,1.1565561324772593,1.15639,1.1562238675227408,0.028732949482315334,0.5300964632714743,0.0001588635405087421,sideways,none,none,none
2026-06-14 04:15:00,1.1563,1.1564,1.1563,1.1564,12605.7,1.1563950000000003,1.15646,,1.1564053765327995,1.1564098829213005,48.69496310911815,neutral,-7.931821987439136e-06,-8.031284506626423e-06,9.946251918728719e-08,bullish_cross,1.1565559347693954,1.1563950000000003,1.1562340652306051,0.027833874998622464,0.5155342441493599,0.00015465900190097403,sideways,none,none,none
2026-06-14 04:30:00,1.1564,1.1564,1.1563,1.1564,30794.3,1.156405,1.1564520000000003,,1.1564043012262397,1.1564089844739096,48.69496310911815,neutral,-7.906125508494455e-06,-8.006252707000031e-06,1.0012719850557606e-07,bullish_cross,1.1565387908816036,1.156405,1.1562712091183962,0.023139104656880845,0.4813141226820633,0.00015075478747947512,bearish,doji,none,none
2026-06-14 04:45:00,1.1564,1.1564,1.1562,1.1563,39901.6,1.1564050000000001,1.1564400000000001,,1.1563834409809919,1.1563990767944634,41.515068537717475,bearish_zone,-1.5773102620464385e-05,-9.559622689692902e-06,-6.213479930771483e-06,bearish_cross,1.1565387908816038,1.1564050000000001,1.1562712091183964,0.02313910465688084,0.10759657630839313,0.00015427230265952692,bearish,none,none,evening_star
2026-06-14 05:00:00,1.1564,1.1564,1.1563,1.1563,11171.4,1.1564050000000001,1.156428,,1.1563667527847936,1.1563900698131486,41.515068537717475,bearish_zone,-2.175693821948599e-05,-1.199908579565152e-05,-9.757852423834469e-06,bearish_cross,1.1565387908816038,1.1564050000000001,1.1562712091183964,0.02313910465688084,0.10759657630839313,0.00015039570961241706,bearish,none,none,none
2026-06-14 05:15:00,1.1564,1.1564,1.1562,1.1562,29233.9,1.1564,1.15642,,1.156333402227835,1.1563727907392258,35.45257632883094,bearish_zone,-3.417439416475432e-05,-1.643414746947208e-05,-1.7740246695282237e-05,bearish_cross,1.1565549193338494,1.1564,1.1562450806661508,0.026793381848712754,-0.14549722436454637,0.00015393887321154442,bearish,none,none,none
2026-06-14 05:30:00,1.1562,1.1564,1.1561,1.1564,61887.7,1.1564,1.156416,,1.1563467217822683,1.156375264308387,50.896903507861424,neutral,-2.7559302450796963e-05,-1.865917846573706e-05,-8.900123985059903e-06,bearish_cross,1.1565549193338494,1.1564,1.1562450806661508,0.026793381848712754,0.5,0.00016437181083930473,sideways,none,none,none
2026-06-14 05:45:00,1.1564,1.1564,1.1562,1.1562,40534.1,1.15639,1.1564100000000002,,1.1563173774258146,1.1563593311894427,40.46899554824462,bearish_zone,-3.8016888116887415e-05,-2.2530720395967133e-05,-1.5486167720920283e-05,bearish_cross,1.1565677638883471,1.15639,1.156212236111653,0.0307446256621236,-0.03441675293782331,0.00016691668149365437,bearish,none,none,none
2026-06-14 06:00:00,1.1562,1.1563,1.1562,1.1562,54792.9,1.15638,1.156404,,1.1562939019406517,1.1563448465358568,40.468995548244614,bearish_zone,-4.5776912349637655e-05,-2.717995878670124e-05,-1.8596953562936416e-05,bearish_cross,1.1565759591794234,1.15638,1.1561840408205766,0.03389183130517449,0.04072067322969865,0.000162136918529837,bearish,doji,none,none
2026-06-14 06:15:00,1.1562,1.1563,1.1561,1.1561,39435.5,1.15636,1.156396,,1.1562551215525214,1.1563225877598697,36.17153287934404,bearish_zone,-5.9312237177699956e-05,-3.360641446490098e-05,-2.5705822712798975e-05,bearish_cross,1.1565827105745137,1.15636,1.1561372894254864,0.0385192456524989,-0.08371723158625916,0.00016484142434914864,bearish,none,none,none
2026-06-14 06:30:00,1.1562,1.1562,1.156,1.1561,23553.9,1.156345,1.1563860000000001,,1.156224097242017,1.1563023525089724,36.17153287934404,bearish_zone,-6.9240913471047e-05,-4.0733314266130186e-05,-2.8507599204916808e-05,bearish_cross,1.156593797106093,1.156345,1.156096202893907,0.04303163953542153,0.007630928977658495,0.00016735275118135074,bearish,none,none,none
2026-06-14 06:45:00,1.1561,1.1563,1.156,1.1562,58915.4,1.1563350000000001,1.1563780000000001,,1.1562192777936136,1.1562930477354294,43.17048473312682,bearish_zone,-6.825351269257318e-05,-4.623735395141879e-05,-2.201615874115439e-05,bearish_cross,1.1565901470164441,1.1563350000000001,1.156079852983556,0.04413029380655674,0.2354466419366585,0.00017682755466841063,bearish,none,none,none
2026-06-14 07:00:00,1.1562,1.1564,1.1561,1.1563,25923.0,1.15633,1.1563700000000001,,1.156235422234891,1.1562936797594814,49.172560911889484,neutral,-5.8724882308514026e-05,-4.873485962283784e-05,-9.990022685676184e-06,bearish_cross,1.1565837715508096,1.15633,1.1560762284491906,0.04389258270727609,0.4408917195322417,0.00018562558647782336,bearish,none,none,none
