timestamp,cycle,symbol,timeframe,session,decision,confidence,entry,sl,tp1,tp2,lot,rr_ratio,risk_usd,reason,close_time,close_price,result,pnl_usd,pnl_pips,lesson
2026-06-27T09:36:27+00:00,2,GBPUSD,15m,London,NO TRADE,34.0,1.31954,1.31851,1.3216,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T09:37:12+00:00,3,USDJPY,15m,London,NO TRADE,34.0,161.757,161.82081,161.62938,,0.0,2.0,0.0,Day76 Sizer: Confidence 34% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T09:37:58+00:00,4,AUDUSD,15m,London,NO TRADE,0.0,0.68944,,,,0.0,0.0,0.0,Signal is NO TRADE — no trade,,,,0.0,0.0,
2026-06-27T09:38:44+00:00,5,USDCAD,15m,London,NO TRADE,28.0,1.41929,1.42028,1.41731,,0.0,2.0,0.0,Day76 Sizer: Confidence 28% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T10:00:17+00:00,1,EURUSD,15m,London,NO TRADE,44.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 44% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T10:14:43+00:00,1,EURUSD,15m,London,NO TRADE,44.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 44% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T10:26:28+00:00,1,EURUSD,15m,London,NO TRADE,42.0,1.13835,1.13739,1.14027,,0.0,2.0,0.0,Day76 Sizer: Confidence 42% < 55% minimum → reject,,,,0.0,0.0,
2026-06-27T10:34:41+00:00,1,EURUSD,15m,London,NO TRADE,42.0,1.13835,1.13739,1.14027,,0.03,2.0,3.0,42% (min 45%),,,,0.0,0.0,
2026-06-27T10:39:57+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.03,2.0,3.0,,,,,0.0,0.0,
2026-06-27T10:44:07+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.03,2.0,3.0,,,,,0.0,0.0,
2026-06-27T10:44:47+00:00,2,GBPUSD,15m,London,BUY,42.0,1.31954,1.31851,1.3216,,0.03,2.0,3.0,,,,,0.0,0.0,
2026-06-27T10:55:02+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.03,2.0,3.0,,,,,0.0,0.0,
2026-06-27T11:24:29+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.04,2.0,4.0,,,,,0.0,0.0,
2026-06-27T11:29:42+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.04,2.0,4.0,,,,,0.0,0.0,
2026-06-27T11:51:37+00:00,1,EURUSD,15m,London,BUY,42.0,1.13835,1.13739,1.14027,,0.04,2.0,4.0,,,,,0.0,0.0,
2026-06-27T12:02:42+00:00,1,EURUSD,15m,London/New York,BUY,42.0,1.13835,1.13739,1.14027,,0.04,2.0,4.0,,,,,0.0,0.0,
2026-06-28T01:16:38+00:00,1,EURUSD,15m,Sydney/Tokyo,BUY,42.0,1.13835,1.13739,1.14027,,0.04,2.0,4.0,,,,,0.0,0.0,
2026-06-29T13:43:36+00:00,1,EURUSD,15m,London/New York,SELL,42.0,1.14048,1.14133,1.13878,,0.04,2.0,3.2,,,,,0.0,0.0,
2026-06-29T13:49:55+00:00,1,EURUSD,15m,London/New York,NO TRADE,42.0,1.1406,,,,0.0,0.0,0.0,Correlation conflict with {'EURUSD'},,,,0.0,0.0,
2026-06-29T13:56:03+00:00,2,GBPUSD,15m,London/New York,NO TRADE,42.0,1.32417,,,,0.0,0.0,0.0,Correlation conflict with {'EURUSD'},,,,0.0,0.0,
2026-06-29T19:07:07+00:00,1,EURUSD,15m,New York,NO TRADE,0.0,1.14258,,,,0.0,0.0,0.0,Signal is NO TRADE — no trade,,,,0.0,0.0,
2026-06-29T19:13:24+00:00,2,GBPUSD,15m,New York,SELL,42.0,1.32571,1.32653,1.32407,,0.04,2.0,3.2,,,,,0.0,0.0,
2026-06-29T19:17:01+00:00,1,EURUSD,15m,New York,NO TRADE,42.0,1.14239,,,,0.0,0.0,0.0,Correlation conflict with {'GBPUSD'},,,,0.0,0.0,
2026-06-29T19:19:47+00:00,1,EURUSD,15m,New York,SELL,42.0,1.14243,1.14318,1.14093,,0.04,2.0,3.2,,,,,0.0,0.0,
2026-06-30T05:05:17+00:00,1,EURUSD,15m,Sydney/Tokyo,BUY,42.0,1.13897,1.13826,1.14039,,0.04,2.0,2.8,,,,,0.0,0.0,
2026-06-30T05:11:37+00:00,2,GBPUSD,15m,Sydney/Tokyo,BUY,42.0,1.32284,1.32216,1.3242,,0.04,2.0,2.8,,,,,0.0,0.0,
2026-06-30T05:17:40+00:00,3,USDJPY,15m,Sydney/Tokyo,BUY,42.0,162.213,162.11404,162.41092,,0.04,2.0,2.6,,,,,0.0,0.0,
2026-06-30T05:23:53+00:00,4,AUDUSD,15m,Sydney/Tokyo,NO TRADE,0.0,0.68725,,,,0.0,0.0,0.0,Signal is WAIT — no trade,,,,0.0,0.0,
2026-06-30T05:30:04+00:00,5,USDCAD,15m,Sydney/Tokyo,NO TRADE,0.0,1.42333,,,,0.0,0.0,0.0,Signal is NO TRADE — no trade,,,,0.0,0.0,
2026-06-30T05:36:15+00:00,6,XAUUSD,15m,Sydney/Tokyo,NO TRADE,0.0,3978.27,,,,0.0,0.0,0.0,Signal is WAIT — no trade,,,,0.0,0.0,
2026-06-30T05:42:29+00:00,7,EURUSD,15m,Sydney/Tokyo,BUY,42.0,1.13911,1.13845,1.14043,,0.04,2.0,2.8,,,,,0.0,0.0,
2026-06-30T05:48:43+00:00,8,GBPUSD,15m,Sydney/Tokyo,BUY,42.0,1.32312,1.32248,1.3244,,0.04,2.0,2.4,,,,,0.0,0.0,
2026-06-30T05:54:47+00:00,9,USDJPY,15m,Sydney/Tokyo,NO TRADE,0.0,162.249,,,,0.0,0.0,0.0,Signal is WAIT — no trade,,,,0.0,0.0,
2026-06-30T06:05:26+00:00,10,AUDUSD,15m,Sydney/Tokyo,NO TRADE,0.0,0.68736,,,,0.0,0.0,0.0,Signal is NO TRADE — no trade,,,,0.0,0.0,
2026-06-30T06:17:11+00:00,11,USDCAD,15m,Tokyo,NO TRADE,0.0,1.42372,,,,0.0,0.0,0.0,Signal is WAIT — no trade,,,,0.0,0.0,
2026-06-30T06:23:08+00:00,12,XAUUSD,15m,Tokyo,NO TRADE,0.0,3985.98,,,,0.0,0.0,0.0,Signal is WAIT — no trade,,,,0.0,0.0,
